id,subject,body,label
741,CHARLES ET LILIAN ANTHONY,"CHARLES ET LILIAN ANTHONY
 Abidjan en Cte d'ivoire.
CHARLES ET LILIAN ANTHONY
 Abidjan en Cte d'ivoire.
Afrique de l'Ouest.

Svp,

Permettez-moi de vous informer de mon dsir de prendre
contact avec votrer aimable personne dans le seul but de
nouer un rapport d'affaires avec vous.Nous avons obtenu
votre contact email adresse par les donnes
d'automatisation aprs notre effort recherchant une
personne digne de confiance pour nous aider.
Nous avons obtenu plusieurs contacts et par nos prires
incessantes et jene, nous avions eu la rvlation de Dieu
de vous confier cette transaction car vous tes une
personne digne de confiance et honnte.
En effet,je m'appelle CHARLES ANTHONY, fils de feu MIKE
ANTHONY.Je suis ici avec ma soeur cadette qui s'apelle
LILIAN ANTHONY.

Notre pre de son vivant tait un grand ngociant trs
riche de cacao  Abidjan, capitale conomique de la Cte
d'ivoire.Avant qu'il ne soit empoisonn par ses propres
associs d'affaires lors d'un dner de travail qu'il avait
eu avec eux.

Pour vous parler de notrer pass trop triste,quand notre
mre est morte le 21 octobre 1991, notre pre nous a pris
en charge ma soeur et moi parce que nous tions sans
mre.Nous vivions ensemble, feu mon pre , ma soeur cadette
et moi jusqu' la mort de notre pre survenue le 30 juin
2000 dans un hpital priv ici  Abidjan.
Quelques jours avant sa mort, et sentant sa mort, nous
avait secrtement appels sur son chevet de lit de malade
et nous avait dit qu'il a une somme de 20.000.000,00 (vingt
millions de dollars amricains) dpose dans une banque
prive ici  Abidjan en son nom.
En outre,il nous avait galement expliqu qu'il tait fait
le dpt de cette importante somme d'argent et que compte
tenu de sa richesse et de ses efforts russis en matire de
cacao, ses partenaires l'avaient empoisonn et que la seule
grce de Dieu, il nous exortait de chercher un associ
tranger de notre choix aprs sa mort, cet associ devrait
nous aider  rclamer ses fonds dposs  la banque et nous
aider  investir cet argent une fois transfr dans un
secteur d'investissement tel que l'immobilier.
C'est pourquoi, nous cherchons honorablement votre aide
pour les raisons suivantes:

1-Pour agir en tant qu'associ tranger de notre pre en
rclamant ces fonds de la banque pour que le transfert et
l'investissement de ces fonds se fassent  votre compte
bancaire. 2-Pour tre le grant et notre
conseillerd'investissement de ces fonds puisque je suis un
jeune homme de 25 ans et ma jeune soeur a juste 18 ans.
D'ailleurs, nous sommes disposs  vous offrir 15% de la
somme totale des fonds dposs dans la banque comme
compensation pour tous efforts dploys pour la russite
de ce transfert total des fonds dans le compte de votre
pays actuel. Dans l'espoir d'avoir de vos nouvelles de
sorte que nous puissions tre en contact alors nous vous
communiquerons si vous tes intress par notre appel
urgent  notre aide et assistance les coordonnes de notre
pasteur qui s'occupe bien de nous depuis un certain
temps.Pour des raisons lies  notre jeunesse alors il
pourra prendre contact avec votre aimable personne pour la
russite de cette transaction de transfert des fonds
dposs par feu mon pre( paix  son me).

Merci d'avance et que Dieu vous bnisse.
CHARLES ET LILIAN ANTHONY
 Abidjan en Cte d'ivoire.
De la part de Charles et Lilian Anthony
Email(charles_lilian01@yahoo.fr)



",1
742,FROM MR. MARTINS AKIM,"MY FRIEND,

I RECEIVE YOUR CONTACT E-MAIL ADDRESS FROM MY SISTER TODAY, I
DECIDED TO CONTACT YOU, MY NAME IS MR. MARTINS AKIM I AM A STAFF OF
EC0BANK NIGERIA PLC I WORK IN AUDIT DEPARTMENT, I NEED YOUR GOOD ASSISTANT
 TO CARRY OUT A TRANSACTION, YOU WILL APPEAR AS THE BENEFICIARY OF THE FUNDS
LET MEKNOW IF YOU CAN HANDLE THIS AND I WILL GIVE YOU FULL DETAILS OF THE
DEAL. YOU CAN REACH ME ON MARTINS.AKIM2@HOTMAIL.COM 

THANKS AND GOD BLESS.

MARTINS AKIM.



___________________________________________________________

Tiscali Broadband from 14.99 with free setup!
http://www.tiscali.co.uk/products/broadband/



",1
743,meeting to be rescheduled,"all :
the meeting scheduled for tomorrow from 11 - 12 : 00 to discuss enron ' s needs
from the mit / aa new value research lab has been postponed to allow for
additional time to confer with aa . new date / time will be set once add ' l
information is gathered .
thanks .
amy",0
744,URGENT AND CONFIDENTIAL,"FROM MR MICHAEL.K.MARIOLE
JOHANNESBURG SOUTH AFRICA
Tel: +27-73-177-9131
URGENT AND CONFIDENTIAL
  
ATTN; Sir,

I know that this letter will come to you as a
surprise? But please do receive it with humanitarian
hearth, First of all let me introduce my self to you. 
   I am Mr.MICHAEL KADUSO MARIOLE,The son of late
Brigadier. Jonathan Sanui Mariole former Special
Adviser on Arms and Acquisition to the former
president of Liberia Mr.Charles Taylor who is
presently on Political Asylum in CALABAR,
NIGERIA.sequel to the political crisis which engulfed
the entire LIBERIA for years now.He finally stepped
down on the 11th day of August, 2003.

President Charles Taylor delegated my father to
arrange
for arm purchase from the Republic of South Africa
through an independent Arms dealer, he was directed to
purchase arms worth US$18.5.M (Eighteen Million,Five
Hundred Thousand, United States Dollars only) on
arrival to South Africa, through diplomatic
means,foreseing the extent of carnage in my country he
decided to deposit the Fund with a private Security
Company in my name(Mr.MICHAEL KADUSO MARIOLE) being
the first Son of the family.Hence that is a singular
opportunity he has to establish a strong financial
base for his family. This consignment was deposited in
disguise as a family valuable to tune of
$18.5m.Shortly on arrival from South Africa, he died
of gun short wounds he sustained during an attack at
his official quarters.

BUT, before he died HE WROTE HIS WILL, which reads
""(MY
BELOVED SON ,I WISH TO DRAW YOUR ATTENTION TO THE SUM
OF($18,500,000=). MILLION U.S DOLLARS WHICH I
DEPOSITED IN A BOX WITH A SECURITY COMPANY IN
JOHANNESBURG (SOUTH-AFRICA).IN CASE OF MY ABSENCE ON
EARTH CAUSED BY DEATH ONLY"". You should solicit for a
reliable foreign partner to assist you to transfer
this money out of SOUTH AFRICA for investment purpose.
I deposited the money in your name and it can be
claimed by you alone with the deposit code. your
mother has all the documents. Take good care of your
mother and brother.""

However I wish to inform you that I came across your
name and profile through South African Net work
Service negotiation, For a credible and reliable
foreign partner to assist me in the transfer of this
fund .The major reason why I need your assistance is
because I am presently residing here in South Africa
as a REFUGEE and the Financial Laws of South Africa
restricts ASYLUM SEEKERS from certain Political,
Social and Economic Rights and as a result of that I
am not allowed to work or even to operate an account,
Thus I was advised by an Attorney here in South Africa
to look for a foreigner in who's name the transfer
will be made. 

I cannot invest this money in South Africa, hence I am
asking you to assist me to transfer this money out of
South-Africa for investment purposes. For your
efforts, I am prepared to offer you 20% of the total
fund, while 5% will be set aside for local and
international expenses and 75% will be kept for my
family investment in your country.

Finally,all modalities on how the transfer will be
made
shall be conveyed to you once we establish trust and
confidence between ourselves.Therefore,if you have
interest in assisting me in the Transfer of this
Fund,please do not hesitate to contact me on my direct
line +27-73-177-9131,or my e-mail address. Remember,
this transaction is 100% risk free so you have nothing
to be scared of. 

Thanks for your anticipated understanding.Looking
forward to your urgent reply .For detailed
information, please contact me. 

Yours Faithfully,
MR.MICHAEL. K. MARIOLE
(FOR THE FAMILY).




	
		
__________________________________
Do you Yahoo!?
Friends.  Fun.  Try the all-new Yahoo! Messenger.
http://messenger.yahoo.com/ 

",1
745,FROM MOHAMMED ABACHA,"Dear Friend,
I am Mohammed Abacha, the eldest son of the late president of Nigeria,
i was falsely acussed of murder and as such was imprisoned, but thanks to
Allah,i have been released for my innosence. Well dear friend i need
your assistance to re
eived this money on my behalf because the government
is making plans to seize them, as they did to my
fathers own.Please view these site and read it's content carefully,
http://news.bbc.co.uk/hi/english/world/africa/newsid_741000/741506.stm
The amo
nt is $80 million.It was defaced for security reason it is currently
with a Security company Abroad. All that is needed is
for me to instruct the company to hand over the money to you, i
will renumerate you with 30% at the end, but most of all is th
t i solicit
your trust in this transaction. I have been confined only to Kano and all
my calls
are monitored,So i will get my private attorney to get you the needed
informations.
Best Regards



Mohammed Abacha
NB. Kindly contact me via e-mai
.






",1
746,TREAT AS URGENT AND CONFIDENTIAL  FROM DR ALI IBRAHIM.,"FROM THE DESK OF DR ALI IBRAHIM.
BILL AND EXCHANGE MANAGER,
AFRICAN DEVELOPMENT BANK -ADB ANNEX.
OUAGADOUGOU, BURKINA FASO.
IN WEST AFRICA.




PRIVATE CONFIDENTIAL NUMBER E-MAIL:dr_ ali_i1@hotmail.com

Dear Sir,



I am The Manager of Bill and Exchange at the Foreign Remittance Department 
of African Development bank(ADB).  I am writing following the impressive 
information about you through one of my friends who runs a consultancy firm 
in my country. He assured me of your capability and reliability to champion 
this businees opportunity.

In my department we discovered an abandoned sum of $ 30m US dollars ( Thirty 
million US dollars) . In an account that belongs to one of our foreign 
customer who died along with his entire family in november 2001 in a plane 
crash.

Since we got information about his death, we have been expecting his next of 
kin to come over and claim his money because we cannot release it unless 
somebody applies for it as next of kin or relation to the deceased as 
indicated in our banking guidelines but unfortunately we learnt that all his 
supposed next of kin   or relation died alongside with him at the plane 
crash leaving nobody behind for the claim. It is therefore upon this 
discovery that I and other officials in my department now decided to make 
this businness proposal to you and release the money to you as the next of 
kin or relation to the deceased for safety and subsequent disbursement since 
nobody is coming for it and we dont want this money to go into the Bank 
treasury as unclaimed Bill.

The Banking law and guideline here stipulates that if such money remained 
unclamed after six years, the money will be transfered into the Bank 
treasury as unclaimed fund.

The request of  foreigner as next of kin in this business is occasioned by 
the fact that the customer was a foreigner and a Burkinabe cannot stand as 
next of kin to a foreigner.

We agree that 30 % of this money will be for you as foreign partner, in
respect to the provision of a foreign account,  10 % will be set aside for 
expenses incured during the business and 60 % would be for ;me and my 
colleagues. There after I and my colleagues will visit your country for 
disbursement accoding to the percentages indicated.

Therefore to enable the immediate trnansfer of this fund to you as arranged, 
you must apply first to the bank as relations or next of kin of the deceased 
indicating your bank name, your bank account number, your private telephone 
and fax number for easy and effective communication and location where in 
the money will be remitted .

Upon receipt of your reply, I will send to you by fax or email the text of 
the application. I will not fail to bring to your notice that this 
transaction  is hitch free and that you should not entertain any atom of 
fear as all required arrangements have been made for the transfer .

You should contact me immediately as soon as you receive this letter.
Trusting to hear from you immediately.

Yours faithfully,

DR ALI IBRAHIM.
Bill and Exchange Manager,
African Development Bank ADB .

_________________________________________________________________
Express yourself instantly with MSN Messenger! Download today it's FREE! 
http://messenger.msn.click-url.com/go/onm00200471ave/direct/01/



",1
747,Confidant,"FROM: MRS. MARIAM M. SESE-SEKO

DEAR FRIEND,
I AM MRS. SESE-SEKO WIDOW OF LATE PRESIDENT MOBUTU SESE-SEKO OF ZAIRE? NOW KNOWN AS DEMOCRATIC REPUBLIC OF CONGO (DRC). I AM MOVED TO WRITE YOU THIS LETTER,THIS WAS IN CONFIDENCE CONSIDERING MY PRESENT CIRCUMSTANCE AND SITUATION.
I ESCAPED ALONG WITH MY HUSBAND AND TWO OF OUR SONS KONGOLO AND NZANGA OUT OF DEMOCRATIC REPUBLIC OF CONGO (DRC) TO ABIDJAN, COTE D'IVOIRE WHERE MY FAMILY AND I SETTLED, WHILE WE LATER MOVED TO SETTLED IN MORROCO WHERE MY HUSBAND LATER DIED OF CANCER DISEASE. HOWEVER DUE TO THIS SITUATION WE DECIDED TO CHANGED MOST OF MY HUSBAND'S BILLIONS OF DOLLARS DEPOSITED IN SWISS BANK AND OTHER COUNTRIES INTO OTHER FORMS OF MONEY CODED FOR SAFE PURPOSE BECAUSE THE NEW
HEAD OF STATE OF (DR) MR LAURENT KABILA HAS MADE ARRANGEMENT WITH THE SWISS GOVERNMENT AND OTHER EUROPEAN COUNTRIES TO FREEZE ALL MY LATE HUSBAND'S TREASURES DEPOSITED IN SOME EUROPEAN COUNTRIES. HENCE MY CHILDREN AND I DECIDED LAYING LOW IN AFRICA TO STUDY THE SITUATION TILL WHEN THINGS GETS BETTER, LIKE NOW THAT PRESIDENT KABILA IS DEAD AND THE SON TAKING OVER (JOSEPH KABILA). ONE OF MY LATE HUSBAND'S CHATEAUX IN SOUTHERN FRANCE WAS CONFISCATED BY THE FRENCH GOVERNMENT, AND AS SUCH I HAD TO CHANGE MY IDENTITY SO THAT MY INVESTMENT WILL NOT BE TRACED AND CONFISCATED. I HAVE DEPOSITED THE SUM OF TWENTY EIGHT MLLION UNITED STATE DOLLARS (US$28,000,000.00.) WITH A SECURITY COMPANY , FOR SAFEKEEPING. THE FUNDS ARE SECURITY CODED TO PREVENT THEM FROM KNOWING THE CONTENT. 
WHAT I WANT YOU TO DO IS TO INDICATE YOUR INTEREST THAT YOU WILL ASSIST US BY RECEIVING THE MONEY ON OUR BEHALF. ACKNOWLEDGE THIS MESSAGE, SO THAT I CAN INTRODUCE YOU TO MY SON (KONGOLO) WHO HAS THE LAYOUT MODALITIES FOR THE CLAIM OF THE SAID FUNDS. I WANT YOU TO ASSIST IN INVESTING THIS MONEY, BUT I WILL NOT WANT MY IDENTITY REVEALED. I WILL ALSO WANT TO BUY PROPERTIES AND STOCK IN MULTI-NATIONAL COMPANIES AND TO ENGAGE IN OTHER SAFE AND NON-SPECULATIVE INVESTMENTS. MAY I AT THIS POINT EMPHASISE THE HIGH LEVEL OF CONFIDENTIALITY, WHICH THIS BUSINESS DEMANDS, AND HOPE YOU WILL NOT BETRAY THE TRUST AND CONFIDENCE, WHICH I REPOSE IN YOU. 
IN CONCLUSION, IF YOU WANT TO ASSIST US , MY SON SHALL PUT YOU IN THE PICTURE OF THE BUSINESS, TELL YOU WHERE THE FUNDS ARE CURRENTLY BEING MAINTAINED AND ALSO DISCUSS OTHER MODALITIES INCLUDING REMUNERATION FOR YOUR SERVICES.
FOR THIS REASON KINDLY FURNISH ME WITH YOUR CONTACT INFORMATION, THAT IS YOUR PERSONAL TELEPHONE AND FAX NUMBER FOR CONFIDENTIAL PURPOSE AND ACKNOWLEDGE RECEIPT OF THIS MAIL BY SENDING  ME AN EMAIL VIA MY CONFIDENTIAL EMAIL ADDRESS AS STATED ABOVE. 
BEST REGARDS,
MRS M. SESE SEKO



",1
748,"draft letters for aep 50 , 000 , 000 return and pg & e lc draw","for review
elizabeth sager
713 - 853 - 6349",0
749,Greetings...From Rabi,"
Greetings, 

My name is RABI AL SALIH, wife of MAHAMMED MAHDI AL SALIH,the former 
Iraqi minister for Interior Affairs. I got your email address through the internet while searching for a reliable person to help me and I believe you can be able to help me and my family.
 
My husband was captured on 23 April 2003 by the US forces. My Husband 
is presently in jail and facing trial on charges of terrorism, corruption, embezzlement and the mysterious charge of plunder which might lead to death sentence. During my husband's regime as Minister for Interior, I realized some reasonable amount of money from 
various deals that I successfully executed. I have plans to invest this 
money for my children's future on real estate and industrial production. 
My husband is not aware of this because I wish to do it secretly for now. 

Before the US invaded our nation, I secretly siphoned the sum of 
$12,000,000 million USD out of Iraq and deposited the money with a security firm that transports valuable goods and consignments through diplomatic means. I also declared that the consignment was solid gold belonging to my foreign business partner. I am contacting you 
because I want you to go to the security company and claim the money on my 
behalf since I have declared that the consignment belong to my foreign business partner. You shall also be required to assist me in investment in your country. 

I trust you as a reliable person who will not sit on this money when you claim it, rather assist me properly I expect you to declare what percentage of the total money you will take for your assistance. 
when I receive your positve response I will give you all the necessary 
informations to enable you proceed to the security company and claim the money. I shall also let you know where the security company is and the consignment pin code to claim the consignment, which is very important. I assure you 100% safety and success once you follow my instructions.

For now, let all our communication be by e-mail because my line are tight now connected to the US Forces Telecomunication Network services. Please also send me your telephone and fax number. I will give more details when I receive your reply.

Yours Sincerely,
Rabi.

Eqqu! New Generation email! http://email.eqqu.com


",1
750,VERY IMPORTANT,"
 WELLKANG INTERNATIONAL,
Import/Export Limited.
 
Wellkang Ltd
Suite B
29 Harley Street
LONDON  W1G 9QR
England
United Kingdom
 
Dear Sir/Madam,
 
         My Name is John Allen, the Director of Wellkang International. 
We are a group of business men who deal on consumer goods commodities as well as label production and certification of industrial products from highly using world-class manufacturing (WCM) methods such as single minute exchange of die (SMED) from Art and Craft processes with production of Rubber and PVC profiles, seals and body trimmings for automobiles and export into the Canada/America and Europe.
 
  I am currently running my business from my Newton Abbot,UK Office where I am located for now.  We are searching for representatives who can help us establish a medium of getting to our customers in the Canada/America,Europe and Asia as well as making payments through you to us.  We are searching for credible representatives who can help us establish a medium of getting to our customers in the Canada,USA and a large part of Europe and Asia as well as recieving payments from our esteemed clients/customers as a result of expansion of our services and streamlining of our official task/routines before us.
  
  Please if you are interested in transacting business with us, we will be very glad and open to accept you into our business team with 10% benefit to you from any payment recieved from our esteemed customers to you on behalf of our Company.
 
But all we just need is trust,and I hope we can rely on you.  Please if you are interested do get back to me on my private email: (wellkanginternational@yahoo.com).
Please note that your areas of specialization or occupation is of no relevant to resolve to assisting us. Please do endevour to fill the form below to enable us creat a file for you and prepare every necessary documentation that will be needed in this transaction.

(1) Your Full Names,
(2) Your Contact Address,
(3) your Working Experience,
(4) The Name Of Your Company(if any),
(5) Your Contact Phone Number(your direct line).
 
Thanks in anticipation of your co-operation.
 
John Allen.
Director,
WELLKANG INTERNATIONAL, 
IMPORT/EXPORT.

___________________________________________________________________________



",1
751,update on lodi and wheeler ridge storage projects,"western undeterred by grueling regulatory process
expressing frustration but continuing its resolve , texas - based western hub
properties is ironing out some "" technical issues "" of financing with
california regulators and now expects to start construction in february on
its delayed lodi gas storage field in northern california .
the merchant storage project will be operating by this time next year , said
western hub ' s california - based manager , jim fossum , who added that with
faster approvals , the project could have been in service during this summer ' s
electricity generating crunch and the current gas and power shortages .
despite the regulatory struggle , he said the company still plans to go
through with its other california storage project near bakersfield and the
natural gas hub called wheeler ridge . western has acquired leases on the
property it needs and will start more detailed engineering of the proposed
site over the first three to six months of next year . the company intends to
make a filing with state regulators in summer of 2001 .
in both the approved lodi project ( see daily gpi , may 19 ) and the proposed
wheeler ridge storage field , western is not concerned about lining up
customers , said fossum . the projects are not contingent on contracts , he
said . "" now that we are a bona fide ( certified plant ) utility under the
california public utilities commission , we are getting some technical things
worked out with the commission staff and nailing down the last small pieces
of property , fossum said . "" everything is basically ready to go at lodi ""
"" we have to file with them documents that verify certain aspects of the
project ' s financing . we can ' t move ahead with the financing until the cpuc
approves it .
"" if we had not encountered all of the roadblocks that we have had , we could
have helped with the problems this last summer , and we could be helping with
problems right now . "" he added that the project would not be operational in
time to have any impact on the upcoming summer electricity demand and
corresponding heavy natural gas demand to fuel power plants .
lodi and the wheeler ridge storage project are being designed as
high - deliverability storage facilities . lodi will have about 9 bcf of working
capacity , building to 12 bcf . initially , fossum said , lodi should have about
400 mmcf / d injection capability and 500 mmcf / d withdrawal .
in the southern half of the state , western for some time has been doing
reservoir studies near wheeler ridge and now has a "" couple of reservoirs that
we think might work , "" fossum said . "" we ' re in the preliminary planning phase . ""
the wheeler ridge project would have an ultimate working capacity of 12 to 16
bcf and similar 500 mmcf / d deliverability at its peak . he said western hopes
to have something operational in the wheeler ridge area by the end of 2002 .",0
752,unify to sap interfaces,"- - - - - - - - - - - - - - - - - - - - - - forwarded by jefferson d sorenson / hou / ect on
07 / 05 / 2000 04 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
bob klein
07 / 05 / 2000 04 : 57 pm
to : jefferson d sorenson / hou / ect @ ect
cc : rebecca ford / hou / ect @ ect
subject : unify to sap interfaces
we interfaced unify to sap three times today . interface number one ( 8 : 40 am )
was error free . the second interface ( noon ) created duplicate invoices for
those sent in our first interface . the problem that caused the duplication
was that the flag in unify that prevents invoices from being sent to sap
after they have already been interfaced did not work . the problem was
corrected before out third interface at 3 : 15 pm . in the 3 : 15 interface , one
error occurred - - - a counterparty was set up in global as intercompany that
should be third party . this error will be corrected before our next interface
on 7 / 6 am .
overall , i was pleased at how well the interfaces worked today and how fast
the sap and unify teams responded to our issues .
bob",0
753,fw : epe lending / cali short for mon .,"day - ahead spl 5 on peak price for monday is $ 43 .
- - - - - original message - - - - -
from : symes , kate
sent : friday , august 24 , 2001 9 : 28 am
to : dl - portland real time shift
cc : gang , lisa
subject : epe lending / cali short for mon .
epe lending :
stwbom and stsw are each short 25 mw on peak at palo on monday . purchase power to cover these short positions . sell back to el paso at $ 0 . reduce purchase prices in the following deals to $ 2 per the new epe lending fee .
747813 - stwbom buys epe
on peak / pv
25 mw @ $ 49
747816 - stsw buys epe
on peak / pv
25 mw @ $ 49
in california :
we ' ll be short 50 mw on peak at spl 5 under stwbom . please cover this short under the stwbom book . day - ahead price has not been set at the time of this e - mail , but i ' ll let you know when it has .
please let me know if you have any questions .
thanks ,
kate",0
754,operational risk offsite agenda,"sally
p lease review and revise as needed the attached proposed agenda . i will
give you a call on friday and see if you have established a date .
i hope the orange bowl experience was great .
tom
- sally beck 2001 operational risk meeting . doc",0
755,re : implementing term - structure of correlations for power,"tanya ,
while there is seasonal correlations in power , especially for np - 15
and sp - 15 ( same region ) , the term structure of correlations can be input .
however , the same correlation structure with similar periodicity may not hold
between np - 15 and , say , rlb ( neepool ) , though one would imagine that
relationship would still be seasonal ( summer / winter ) , with greater noise .
even if the correlational term structure is to be done for power , different
rules would have to be inputted for different regions .
naveen
tanya tamarchenko @ ect
10 / 05 / 2000 10 : 42 am
to : vladimir gorny / hou / ect @ ect , naveen andrews / corp / enron @ enron
cc : kirstee hewitt / lon / ect @ ect , debbie r brackett / hou / ect @ ect , wenyao
jia / hou / ect @ ect , vince j kaminski / hou / ect @ ect
subject : re : implementing term - structure of correlations for power
vlady
2 ) correlations are periodic with a period of 1 year ( this means we can use
12 correlation matrices calculated from
first 12 forward contracts and apply these matrices to other forward months ) ;
3 ) using decay factor makes the curves a little smoother .
implementation of multiple correlation matrices will not affect the speed of
calculations in var model significantly .
please , give me your response ,
thanks ,
tanya .",0
756,Re: Next of Kin,"Caspar J. Justin Solicitors
86 Market Place, Mansfield  NG10 7HR,United Kingdom
Tel: +44-701-114-9174 Fax: +44-871-264-3736 
Email: caspar_j_justin@LawDr.net
                                                                           
                                 


Dear, 

                                  Re: Next of Kin

I am Caspar J. Justin an Attorney at Law, a South African national
practicing here in the UK.

I am writing to notify you of the TESTAMENT of one or our Client who
unfortunately lost his life in the Madrid bomb blast on March 11, 2004,
killing over two hundred people including tourists in Spain. He was a
prominent business leader who had been in Spain for vacation with his wife
and their only daughter. 

The deceased who was residing in the United States of America before his
death made a deposit of Fifteen Million Five Hundred Thousand United States
Dollars (US$15,500,000.00) in Amsterdam Netherlands, his effort to avoid the
obligatory payment of income tax in the United States of America.

However, I was mandated by our team of professionals to search for the
relatives of the deceased regarding his deposit as the holding financial
institution wants him to come forward for the endorsement of the
reinvestments documents on interest accrued.

Since we got information about his death, we have been expecting his Next
of Kin or relatives to come over to sign the reinvestment documents or claim
his deposit because the financial institution cannot release these funds
unless a formal application is made which is in line with the Royal Dutch
law on inheritance claim.

Regrettably, I learnt that his supposed Next of Kin, which could be his
spouse or his only daughter died along with him in the ugly Madrid Bomb
Blast leaving nobody with the knowledge of this huge deposit except me as
the personal lawyer attached to monitor his deposit. It is in this regard
that I and my colleagues decided to solicit your assistance by presenting
you as the next of kin to the deceased. Although, we have agreed on the
following sharing ratios: 25% for your assistance and 75% for me and my
colleagues but it is still negotiable.

NB: This transaction is very confidential and 100% risk free as I have a
copy of his LAST WILL AND TESTAMENT which I can present your name as the
TRUSTEE & EXECUTOR. This transaction shall be executed under legitimate and
legal procedures that will protect you from any breach of the Law.

Therefore, do not hesitate to revert back to me, either via fax or email,
with the following details if my proposal interests you:  A signed copy of
this letter, your address and your telephone and fax numbers. 

Best regards,



Caspar J. Justin
Attorney At Law (Principal)




",1
757,"hpl july 26 , 2000","20 k off hpl @ eastrans effective july 26 , 2000
redelivered @
mobil beaumont 12200
fcv 7800
total 20000
thanks ,
chad cass",0
758,please contact me,"CORDINATOR, DEBT RECOVERY AND RECONCILIATION 
UNIT OFFICE OF THE ASSISTANT TO THE AUDITOR GENERAL
AMALGAMATED BANKS OF SOUTH AFRICA (ABSA)
14TH FLOOR EMBASSY BUILDING CNR SMITH ALIWAL STREET,
P.O. BOX 1596
ALBERTON BRANCH DURBAN 4000 SOUTH AFRICA.
EMAIL ga_m@epatra.com 


dear,

I humbly wish to seek your assistance in a matter that is very important and needs utmost trust and confidence. I am MR Gabriel Mukanabe THE ASSISTANT TO THE AUDITOR GENERAL AMALGAMATED BANKS OF SOUTH AFRICA (ABSA) and a close confidant of one of the South-African most powerful family. The wife of former top Government official, a Gold magnet {OriginalOwner of GRUGGER GOLD CO.}, i.e. late Dr BAMUNGA SANGO MBEKI, former Junior Minister of Mines and Power , Republic ofSouth-Africa.Unfortunately, he died of heart attack soon after handing over because the new Government wanted to probe his activitieswhile in office for financial misappropriations. Presently, all their foreign and local count was frozen and their assets confiscated. The wife, who is now on her sick bed helplessly since her husbands death with her only son to look after, wishes to move out of South-Africa the sum of USD$75 million . She wishes to invest the a for mentioned sum on real estate property/viable inves!
tments overseas. For obvious reasons, my client does not want to place this fund with established financial institution with the family name forsecurity reasons. It is her desire that the deal be handled as quietly as possible without possibility of any leakage to the public or Government. She has therefore empowered me to find and negotiate for a reliable and trustworthy foreigner who can assist us by using his/her name in moving the money to a foreign safe account and who can assist to invest the fund properly for the family. If you agree to act as a fund manager for my client and the family, I shall release the sum of $75 USD[seventy five million united states dollars] to you if you meet my requirements.The money is available safe with a private security company coded and lodged in with a fictitious name. Upon a favorable response from you, I shall let you know the steps involve. Your commission shall be down payment of 25% of the total sum, and annual 10% of the after ta!
x returns on investment for the first 5 years. Thereafter, the terms shall be re-negotiated. If you are capable and willing to participate in this 
transaction contact me through ga_m@epatra.com 
IF FOR ANY REASON YOU ARE NOT DISPOSED AT MOMENT TO 
UNDERTAKE THIS DEAL,LET ME KNOW ON TIME SO AS TO MAKE ALTERNATIVE
ARRANGEMENT.BECAUSE I WILL NOT CONACT ANOTHER PERSON UNTILL I HEAR FROM YOU.
Yours faithfully,

MR Gabriel Mukanabe


______________________________________________________
Get Paid... With Your Free Email at
http://www.zwallet.com/index.html?user=ga_mm1

",1
759,"ftr team ,","the copy of the auction results that you got at yesterday ' s meeting is
incorrect . what happened was when i tried to sort the entire page , i only
highlighted the related column and expected excel 98 would sort the whole
page . ( as steve told me before , i should highlight the whole thing if i try
to do sorting in excel ) . i appolized for the misleading and have redone the
whole thing . thanks for the patience . wish you all have a great weekend .",0
760,gtv weekly status update,"please find below the gtv project status update for this week . please see the attached file for the project timeline update in microsoft project .
gtv status meeting attendees : dave nommensen , karima husain , francis lim , jeremy wong , bill fortney , nayan dattani , russ severson , narasim kasaru , mike swaim , chuck ames , jay krish .
accomplishments :
? incorporating physcial deal positions in tds :
o changes to cpr reader process waiting for user acceptance testing .
plans for the week ending 5 / 4 / 01 :
? continue it development of phase i items .
? continue it development of phase 2 issues .
issues / open items :
? to be determined : whether "" group of groups "" on cash positions must be included in the rollout .
? to be determined : whether cash total needs to be included in position manager rollout ( and how ) .
? excluding the above 2 items , rollout to production is planned for mid - may .
thanks , dave n .",0
